Company,Location_HQ,Industry,Laid_off_count,Percentage,date,Stage,Country,Funds_Raised
Spotify,Stockholm,Media,1500,0.17,2023-12-04,Post-IPO,Sweden,2100
Sprinklr,"New York City",Support,116,0.03,2024-05-03,Post-IPO,"United States",429
Sproutt,Hartford,Finance,NULL,1.0,2024-05-01,"Series B","United States",38
"Stability AI",London,AI,20,NULL,2024-04-18,Unknown,"United Kingdom",174
"Stack Overflow","New York City",Recruiting,NULL,0.28,2023-10-16,Acquired,"United States",153
Stash,"New York City",Finance,80,0.25,2024-03-13,Unknown,"United States",480
"Stellar Pizza","Los Angeles",Food,NULL,0.5,2023-12-14,"Series A","United States",25
StellarAlgo,Calgary,Data,21,0.28,2023-10-19,"Series A",Canada,16
StepStone,Berlin,Recruiting,215,0.05,2023-10-30,Acquired,Germany,NULL
"Stitch Fix",Dallas,Retail,NULL,NULL,2024-01-18,Post-IPO,"United States",79
"Stitch Fix",Dallas,Retail,558,NULL,2023-10-09,Post-IPO,"United States",79
Storytel,Stockholm,Consumer,80,0.13,2024-02-15,Post-IPO,Sweden,312
Storytel,Stockholm,Media,80,0.13,2024-01-24,Post-IPO,Sweden,275
Strake,Boulder,Infrastructure,NULL,1.0,2023-12-28,Unknown,"United States",NULL
StreamElements,"Tel Aviv",Media,60,0.35,2023-08-17,"Series B",Israel,111
StyleSeat,"SF Bay Area",Consumer,NULL,0.17,2023-08-09,"Series C","United States",40
Sunfolding,"SF Bay Area",Energy,NULL,1.0,2023-12-09,"Series B","United States",32
Superpedestrian,Boston,Transportation,NULL,NULL,2023-12-15,"Series C","United States",262
Swiggy,Bengaluru,Food,400,0.07,2024-01-25,Unknown,India,3600
Synapse,"SF Bay Area",Finance,86,0.4,2023-10-02,"Series B","United States",50
Synctera,"SF Bay Area",Finance,17,0.15,2024-03-26,"Series A","United States",79
Tails.com,London,Retail,55,0.25,2024-02-20,"Series A","United Kingdom",5
Take-Two,"New York City",Consumer,579,0.05,2024-04-16,Post-IPO,"United States",4100
Talent.com,Montreal,Recruiting,NULL,NULL,2023-09-05,"Series B",Canada,150
Talkdesk,"SF Bay Area",Support,NULL,NULL,2023-09-26,"Series D","United States",497
TechCrunch,"SF Bay Area",Media,7,NULL,2024-01-30,Acquired,"United States",NULL
Tekion,Bengaluru,Other,300,0.1,2023-08-02,"Series D",India,435
"Tempo Automation","SF Bay Area",Other,NULL,NULL,2023-08-22,Post-IPO,"United States",154
Tenable,Baltimore,Security,NULL,0.05,2024-02-07,Post-IPO,"United States",565
Tesla,Austin,Transportation,14000,0.1,2024-04-15,Post-IPO,"United States",20200
Tesla,Austin,Transportation,500,NULL,2024-04-30,Post-IPO,"United States",20200
Textio,Seattle,Recruiting,14,0.16,2024-03-14,Unknown,"United States",42
"The Good Glamm Group","New Delhi",Retail,150,0.15,2024-04-18,Unknown,India,180
"The Messenger",Miami,Media,NULL,1.0,2024-01-31,Unknown,"United States",NULL
"The Messenger","New York City",Media,24,NULL,2024-01-02,Unknown,"United States",NULL
Thepeer,Lagos,Finance,NULL,1.0,2024-04-02,Seed,Nigeria,2
Thinx,"New York City",Retail,95,NULL,2024-01-31,Acquired,"United States",26
Thoughtworks,Chicago,Other,579,0.05,2023-08-08,Post-IPO,"United States",748
Thursday,London,Consumer,NULL,0.7,2024-01-16,Seed,"United Kingdom",3
Tidal,"New York City",Consumer,40,0.1,2023-12-06,Acquired,"United States",NULL
"Tier Mobility",Berlin,Transportation,NULL,0.22,2023-11-28,"Series D",Germany,646
TikTok,Dublin,Consumer,250,NULL,2024-04-11,Acquired,Ireland,NULL
TikTok,"Los Angeles",Consumer,60,NULL,2024-01-22,Acquired,"United States",NULL
"Times Internet",Gurugram,Media,100,0.05,2023-08-18,Subsidiary,India,NULL
Toast,Boston,Food,550,0.1,2024-02-15,Post-IPO,"United States",962
Tome,"SF Bay Area",AI,12,0.25,2024-04-16,"Series B","United States",75
TomTom,Lodz,Transportation,45,NULL,2023-12-12,Post-IPO,Poland,NULL
Tonik,Singapore,Finance,NULL,NULL,2024-03-01,"Series B",Singapore,175
"Top Hat",Toronto,Education,35,0.07,2024-02-02,"Series E",Canada,234
"Top Hat",Toronto,Education,42,0.07,2023-08-04,"Series E",Canada,234
Toshiba,Tokyo,Manufacturing,4000,NULL,2024-05-16,Unknown,Japan,NULL
Totango,"SF Bay Area",Support,NULL,NULL,2024-03-07,Acquired,"United States",147
"Treasure Financial","SF Bay Area",Finance,14,0.6,2024-01-09,"Series A","United States",14
"Treasury Prime","SF Bay Area",Finance,40,0.4,2024-02-28,"Series C","United States",71
"Trend Micro",Tokyo,Security,NULL,0.02,2024-01-09,Unknown,Japan,NULL
Trendsales,Copenhagen,Retail,79,1.0,2024-04-08,Acquired,Denmark,NULL
Trigo,"Tel Aviv",Retail,30,0.15,2024-01-04,"Series C",Israel,199
TripAdvisor,Boston,Travel,NULL,NULL,2023-08-02,Post-IPO,"United States",3
TripAdvisor,Boston,Travel,125,0.04,2023-11-12,Post-IPO,"United States",3
Tropic,"New York City",Finance,26,NULL,2023-10-20,"Series B","United States",67
Tropic,"New York City",Finance,40,NULL,2024-05-31,"Series B","United States",67
"Trove Recommerce","SF Bay Area",Retail,130,NULL,2024-01-31,"Series E","United States",152
"True Anomaly",Denver,Aerospace,30,0.25,2024-04-25,"Series B","United States",158
"Tulip Retail",Toronto,Retail,25,NULL,2023-11-21,"Series C",Canada,79
Turnitin,"SF Bay Area",Education,15,0.02,2024-03-07,Acquired,"United States",NULL
TuSimple,"San Diego",Transportation,150,NULL,2023-12-04,Post-IPO,"United States",648
